Sample_Name,grain,Spot number,FWHM,raman_shift
PP2907,17,2,10,1004.2
PP2907,17,3,6.1,1004.2
PP2907,17,4,6.4,1004.9
PP2907,17,5,6.5,1004.8
PP2907,17,6,7.7,1003.9
PP2907,17,7,7.9,1003.4
PP2907,17,8,6.6,1004.7
PP2907,17,9,8.5,1002.3
PP2907,17,10,11.8,1000.5
PP2907,18,1,5.7,1005.5
PP2907,18,2,13.6,1005.4
PP2907,18,3,14.5,1002
PP2907,19,3,8.3,1005.9
PP2907,20,1,5.7,1006.2
PP2907,20,2,10.1,1003.6
PP2907,20,3,7.9,1004.4
PP2907,21,2,8.7,1005
PP2907,21,3,6.5,1005.4
PP2907,23,1,19.9,1000.7
PP2907,23,2,9.3,1002.1
PP2907,23,3,13,1001.7
PP2907,24,1,13.4,1004.8
PP2907,24,3,20.9,1000
PP2907,25,3,12.4,1002.7
PP2907,25,4,10.3,1003.3
PP2907,25,5,20.5,999.6
PP2907,25,6,12.9,1001.3
PP2907,25,7,18.2,1000.2
PP2907,25,8,10.9,1002.1
PP2907,25,9,11,1001.9
PP2907,25,10,10.1,1002.5
PP2907,25,11,15.4,1000.8
PP2907,25,12,9.4,1003
PP2907,25,13,21.5,999.8
PP2907,26,2,7.9,1005.9
PP2907,27,1,13,1002.6
PP2907,27,2,9.5,1002.1
PP2907,27,3,11.8,1003.4
PP2907,27,1,6.9,1004.5
PP2907,27,2,10.2,1002.7
PP2907,27,3,11.7,1001.5
PP2907,27,4,10.9,1002
PP2907,27,5,16.8,1000.8
PP2907,27,6,8.3,1003.4
PP2907,27,8,10.1,1001.8
PP2907,27,9,11,1003
PP2907,27,10,9.2,1001.8
PP2907,28,1,13.4,999.7
PP2907,28,2,10.3,1000.9
PP2907,28,4,11.5,1002.5
PP2907,29,1,11.6,1001.5
PP2907,29,2,12.9,1001.6
PP3971,1,3,18.7,997.7
PP3971,2,1,9.2,1004.5
PP3971,2,2,7.5,1005.1
PP3971,2,3,7.3,1005.1
PP3971,3,2,7.2,1004.1
PP3971,5,1,16.8,998.7
PP3971,6,1,5.5,1005.5
PP3971,6,2,5.9,1005.7
PP3971,8,1,3.8,1006.7
PP3971,8,2,3.5,1006.9
PP3971,8,3,5.6,1006
PP3971,9,3,10.8,1000.3
PP3971,10,2,7.2,1005.7
PP3971,10,3,7,1005.7
PP3971,10,4,5.7,1005.9
PP3971,13,1,4.9,1003.8
PP3971,13,2,4.7,1006.1
PP3971,13,3,4.4,1006.1
PP3971,14,1,5.9,1005.3
PP3971,14,2,4.5,1006.9
PP3971,14,3,7.4,1004.4
PP3971,15,1,4.3,1006.4
PP3971,15,2,5.2,1005.2
PP3971,16,2,7.2,1000.3
PP3971,17,3,18.1,1001.7
PP3971,17,1,9.3,1004.5
PP3971,17,2,7.5,1005.1
PP3971,17,3,7.3,1005.1
PP3971,19,1,5.8,1005.5
PP3971,24,3,16.3,998.7
PP3971,26,2,5.2,1006.6
PP3971,26,3,7.1,1005.3
PP3971,29,1,11.3,1001.3
PP3971,29,2,8.1,1005.4
PP3971,29,3,6,1003.6
PP3971,29,4,11.3,1001
PP3971,30,1,6.4,1005.5
PP3971,32,1,5.4,1005.6
PP3971,32,2,5.4,1006.3
PP3971,32,3,6.7,1005
PP3971,32,4,7.8,1005.2
